DOID:1459	umls:C0020676
DOID:6132	umls:C0006277
DOID:2355	umls:C0002871
DOID:615	umls:C0023530
DOID:1826	umls:C0014544
DOID:7148	umls:C0003873
DOID:289	umls:C0014175
DOID:9588	umls:C0014038
DOID:11476	umls:C0029456
DOID:3312	umls:C0005586
DOID:3083	umls:C0024117
DOID:4989	umls:C0030305
DOID:11612	umls:C0032460
DOID:2841	umls:C0004096
DOID:9471	umls:C0025289
DOID:1936	umls:C0004153
DOID:423	umls:C0026848
DOID:1485	umls:C0010674
DOID:552	umls:C0032285
DOID:10652	umls:C0002395
DOID:9351	umls:C0011849
DOID:1564	umls:C0026946
DOID:419	umls:C0011644
DOID:2377	umls:C0026769
DOID:8469	umls:C0021400
DOID:12336	umls:C0021364
DOID:12176	umls:C0018021
DOID:12558	umls:C0162674
DOID:9120	umls:C0002726
DOID:12858	umls:C0020179
DOID:0050700	umls:C0878544
DOID:848	umls:C0003864
DOID:5419	umls:C0220702
DOID:9455	umls:C0023794
DOID:12365	umls:C0024530
DOID:633	umls:C0027121
DOID:9970	umls:C0028754
DOID:1596	umls:C0011570
DOID:5844	umls:C0027051
DOID:326	umls:C0022116
DOID:13809	umls:C0020474
DOID:2349	umls:C0003850
DOID:11335	umls:C0036202
DOID:12930	umls:C0007193
DOID:898	umls:C0022680
DOID:2352	umls:C0018995
